nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche Larga Vida Descremada Deslactosada;Colanta;6300.0;18590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;6600.0;19990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;7800.0;23590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alquería;6600.0;21990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada;Colanta;6600.0;22590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;6600.0;18590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alpina;1000.0;5242;Jumbo;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Entera;Alpina;4000.0;11992;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Descremada Deslactosada;Alpina;1000.0;3292;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Descremada;Colanta;5400.0;16990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alpina;200.0;1792;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Entera;Colanta;1000.0;2250;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Entera;Colanta;6300.0;17590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada;Alquería;6600.0;20590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;7800.0;25590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Colanta;6600.0;12442;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Klim;1200.0;29990;Jumbo;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Klim;780.0;18590;Jumbo;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Klim;360.0;9590;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Colanta;1000.0;18590;Jumbo;g;Leche;Alimentos Frescos;Alto
