,nombre,marca,presentacion,precio,lugar
340,Salsa de Tomate,Casino, 190 g,5 490 $,Éxito
341,Salsa de Tomate,Doria, 200 g,3 070 $,Éxito
342,Salsa de Tomate,Doria, 200 g,3 090 $,Éxito
343,Salsa de Tomate,Doria, 200 g,3 110 $,Éxito
344,Salsa de Tomate,Barilla, 400 g,8 990 $,Éxito
345,Salsa de Tomate,Fruco, 900 g,9 990 $,Éxito
346,Salsa de Tomate,Fruco, 400 g,5 360 $,Éxito
347,Salsa de Tomate,San Jorge, 200 g,3 210 $,Éxito
348,Salsa de Tomate,Fruco, 200 g,4 340 $,Éxito
349,Salsa de Tomate,Fruco, 400 g,5 990 $,Éxito
350,Salsa de Tomate Dietética,La Constancia, 200 g,3 760 $,Éxito
351,Salsa de Tomate Dietética,La Constancia, 400 g,6 770 $,Éxito
352,Salsa de Tomate,Fruco, 600 g,8 790 $,Éxito
353,Salsa de Tomate,Fruco, 180 g,5 490 $,Éxito
354,Salsa de Tomate,Fruco, 380 g,9 470 $,Éxito
355,Salsa de Tomate,Fruco, 200 g,2 600 $,Éxito
356,Sal Marina,Refisal, 465 g,3 810 $,Éxito
357,Sal Marina,Refisal, 110 g,1 150 $,Éxito
358,Sal Marina,Refisal, 800 g,3 820 $,Éxito
359,Sal Común con Pimentón,Refisal, 70 g,5 180 $,Éxito
360,Sal Parrillera,Refisal, 454 g,5 880 $,Éxito
361,Sal Marina,Porter, 135 g,2 370 $,Éxito
362,Cristales de Sal,Refisal, 500 g,8 430 $,Éxito
363,Sal Común,Refisal,1 000 g,1 540 $,Éxito
364,Sal del Himalaya,Refisal, 110 g,9 490 $,Éxito
365,Sal del Himalaya,Refisal, 400 g,14 300 $,Éxito
366,Sal Común Reducida en Sodio,Refisal, 120 g,3 640 $,Éxito
367,Sal Común Reducida en Sodio,Refisal, 500 g,6 920 $,Éxito
368,Sal Común Reducida en Sodio,Refisal, 500 g,6 390 $,Éxito
369,Sal Común,Refisal, 130 g, 800 $,Éxito
370,Sal Común,Refisal, 750 g,2 520 $,Éxito
371,Cristales de Sal,Refisal, 370 g,14 210 $,Éxito
372,Sal Común,Refisal, 500 g,2 480 $,Éxito
373,Sal Común Reducida en Sodio con Ajo,Refisal, 70 g,5 570 $,Éxito
374,Sal Común Reducida en Sodio con Hierbas,Refisal, 70 g,5 570 $,Éxito
375,Sal Común Reducida en Sodio con Pimienta,Refisal, 90 g,5 570 $,Éxito
376,Sal Común con Limón,Refisal, 30 g,2 020 $,Éxito
377,Harina de Trigo con Polvo para Hornear,haz de oros,1 000 g,4 410 $,Éxito
378,Harina de Trigo,haz de oros,2 500 g,7 530 $,Éxito
379,Harina de Trigo,haz de oros, 500 g,1 700 $,Éxito
380,Harina de Trigo,haz de oros,1 000 g,3 780 $,Éxito
381,Chocolate Esparcible,Chocoramo, 350 g,13 600 $,Éxito
382,Chocolate Esparcible,Nutella, 350 g,17 600 $,Éxito
383,Chocolate Esparcible,Nutella, 750 g,39 400 $,Éxito
384,Chocolate Esparcible,Jet, 350 g,10 850 $,Éxito
385,Lentejas,Ekono,1 000 g,4 590 $,Éxito
